tpsf_id,text_units_list,no_text_units
0,SEC,1
1,SEC,1
2,SEC,1
3,SEC,1
4,SEC,1
5,SEC,1
6,SEN-SIN-SEC,3
7,SEN-SIN-SEC,3
8,SEN-SIN-SEC,3
9,SEN-SIN-SEC,3
10,SEN-SIN-SEC,3
11,SEN-SIN-SEC,3
12,SEN-SIN-SEC,3
13,SEN-SIN-SEC,3
14,SEN-SIN-SEC,3
15,SEN-SIN-SEC,3
16,SEN-SIN-SEC,3
17,SEN-SIN-SEN-PIN,4
18,PIN-SEN-SIN-SEN-PIN,5
19,PIN-SEN-SIN-SEC-PIN,5
20,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
21,PIN-SEN-SIN-SEC-PIN,5
22,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
23,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
24,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
25,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
26,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
27,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
28,PIN-SEN-SIN-SEC-PIN-SEN-PIN,7
29,PIN-SEN-SIN-SEC-PIN-SEC-PIN,7
30,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
31,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
32,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
33,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
34,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
35,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
36,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
37,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
38,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
39,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
40,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
41,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
42,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
43,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
44,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
45,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
46,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
47,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
48,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
49,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
50,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
51,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEC-PIN,9
52,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
53,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
54,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
55,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
56,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
57,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
58,PIN-SEN-SIN-SEC-PIN-SEN-SIN-SEN-SIN-SEC-PIN,11
